Millis,m_currentPosition,m_pressedButtonDebug,m_bytesToSent,CurrentPosition,CurrentDirection,TargetPosition,MSStopped,startButton,stopButton,parkingButton,m_P,m_I,m_D,m_goalType,m_goal,m_lastError,m_errorSum,m_lastFilteredYaw,,yaw,pitch,roll,freq,magMin[0],magMin[1],magMin[2],magMax[0],magMax[1],magMax[2],m_speed,m_speed.tripMileage,m_speed.totalMileage,m_speed.waterTemp,m_lampIntensity,m_wind.apparentAngle,m_wind.apparentSpeed,m_wind.displayInKnots,m_wind.displayInMpS,m_depth.anchorAlarm,m_depth.deepAlarm,m_depth.defective,m_depth.depthBelowTransductor,m_depth.metricUnits,m_depth.shallowAlarm,m_depth.unknown,Position,
21050,27,0,0,27,2,151,0,0,1,0,2.00,0.20,8.00,0,0.00,0.00,0.00,95.12,,97.29,11.56,-8.64,51.37,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,35.00,1.30,1,0,0,0,0,39.29,1,0,1,,
22055,71,0,0,71,2,151,0,0,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,95.28,,95.97,10.90,-8.07,146.28,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,35.00,1.30,1,0,0,0,0,39.29,1,0,1,,
23050,120,0,0,120,2,151,0,0,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,95.42,,96.51,10.98,-8.07,50.76,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,34.00,1.30,1,0,0,0,0,18.20,1,0,1,,
24050,152,0,0,152,1,152,23700,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,95.58,,97.21,11.59,-8.06,100.36,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,34.00,1.30,1,0,0,0,0,40.72,1,0,1,,
25050,131,0,0,131,0,-1348,0,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,95.72,,98.40,11.19,-8.10,49.08,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,33.00,1.30,1,0,0,0,0,19.69,1,0,1,,
26050,91,0,0,91,1,91,25800,0,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,96.18,,98.09,11.21,-8.87,50.95,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,33.00,1.30,1,0,0,0,0,19.69,1,0,1,,
27051,111,0,0,111,2,1591,0,0,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,96.25,,96.91,10.61,-7.84,48.86,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,34.00,1.30,1,0,0,0,0,19.69,1,0,1,,
28050,163,0,0,163,2,1591,0,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,96.27,,96.74,10.26,-8.36,51.40,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,35.00,1.30,1,0,0,0,0,19.69,1,0,1,,
29050,213,0,0,213,2,1591,0,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,96.60,,95.84,11.53,-8.36,48.23,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,34.00,1.40,1,0,0,0,0,19.69,1,0,1,,
30050,262,0,0,262,2,1591,0,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,96.75,,98.35,11.86,-9.14,50.73,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,33.00,1.40,1,0,0,0,0,89.00,1,0,1,,
31069,316,0,0,316,2,1591,0,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.06,,98.29,10.43,-7.59,23.69,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,34.00,1.40,1,0,0,0,0,89.00,1,0,1,,
32050,366,0,0,366,2,1591,0,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,96.99,,95.71,10.24,-8.06,49.48,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,33.00,1.30,1,0,0,0,0,89.00,1,0,1,,
33056,419,0,0,419,2,1591,0,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.23,,99.01,11.13,-8.13,146.11,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,33.00,1.30,1,0,0,0,0,12.16,1,0,1,,
