Millis	m_currentPosition	m_pressedButtonDebug	m_bytesToSent	CurrentPosition	CurrentDirection	TargetPosition	MSStopped	startButton	stopButton	parkingButton	m_P	m_I	m_D	m_goalType	m_goal	m_lastError	m_errorSum	m_lastFilteredYaw		yaw	filteredYaw	pitch	roll	freq	magMin[0]	magMin[1]	magMin[2]	magMax[0]	magMax[1]	magMax[2]	m_speed	m_speed.tripMileage	m_speed.totalMileage	m_speed.waterTemp	m_lampIntensity	m_wind.apparentAngle	m_wind.apparentSpeed	m_wind.displayInKnots	m_wind.displayInMpS	m_depth.anchorAlarm	m_depth.deepAlarm	m_depth.defective	m_depth.depthBelowTransductor	m_depth.metricUnits	m_depth.shallowAlarm	m_depth.unknown	Position	
14050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	176.90		176.13	-8.25	5.94	51.40	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	31.00	1.40	1	0	0	0	0	10.73	1	0	1		
15069	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	177.57		179.32	-8.48	5.81	23.43	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	30.00	1.40	1	0	0	0	0	7.68	1	0	1		
16050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	178.08		178.57	-8.68	6.33	49.43	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	30.00	1.40	1	0	0	0	0	7.68	1	0	1		
17056	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	178.68		179.45	-8.24	6.17	147.32	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.70	-1.00	-1.00	14.00	-1	28.00	1.40	1	0	0	0	0	7.68	1	0	1		
18050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	178.06		175.51	-8.38	6.79	49.43	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.70	-1.00	-1.00	16.00	-1	29.00	1.30	1	0	0	0	0	7.68	1	0	1		
19050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	177.43		179.20	-7.54	4.56	92.73	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.70	-1.00	-1.00	14.00	-1	29.00	1.30	1	0	0	0	0	7.68	1	0	1		
20050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	177.96		179.87	-8.32	4.27	48.83	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.70	-1.00	-1.00	16.00	-1	28.00	1.30	1	0	0	0	0	9.20	1	0	1		
21050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	178.27		178.51	-8.07	5.87	51.42	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.70	-1.00	-1.00	14.00	-1	29.00	1.20	1	0	0	0	0	9.20	1	0	1		
22050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	178.65		182.64	-8.18	3.68	48.24	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	29.00	1.20	1	0	0	0	0	15.24	1	0	1		
23050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	179.09		178.34	-8.17	5.44	50.70	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	14.00	-1	28.00	1.20	1	0	0	0	0	13.75	1	0	1		
