Millis	m_currentPosition	m_pressedButtonDebug	m_bytesToSent	CurrentPosition	CurrentDirection	TargetPosition	MSStopped	startButton	stopButton	parkingButton	m_P	m_I	m_D	m_goalType	m_goal	m_lastError	m_errorSum	m_lastFilteredYaw		yaw	filteredYaw	pitch	roll	freq	magMin[0]	magMin[1]	magMin[2]	magMax[0]	magMax[1]	magMax[2]	m_speed	m_speed.tripMileage	m_speed.totalMileage	m_speed.waterTemp	m_lampIntensity	m_wind.apparentAngle	m_wind.apparentSpeed	m_wind.displayInKnots	m_wind.displayInMpS	m_depth.anchorAlarm	m_depth.deepAlarm	m_depth.defective	m_depth.depthBelowTransductor	m_depth.metricUnits	m_depth.shallowAlarm	m_depth.unknown	Position	
188400	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	203.43		195.69	-4.79	0.82	84.75	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.80	0.86	-1.00	16.00	-1	21.00	0.50	1	0	0	0	0	7.71	1	0	1		
188450	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	203.43		194.62	-4.78	1.05	65.63	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.80	0.86	-1.00	16.00	-1	21.00	0.50	1	0	0	0	0	7.71	1	0	1		
188504	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	202.94		195.11	-4.72	0.83	147.41	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.80	0.86	-1.00	16.00	-1	21.00	0.50	1	0	0	0	0	7.71	1	0	1		
188550	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	202.94		195.44	-4.68	0.70	82.51	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.80	0.86	-1.00	16.00	-1	21.00	0.50	1	0	0	0	0	7.71	1	0	1		
188600	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	202.94		195.71	-4.66	0.66	76.08	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.80	0.86	-1.00	16.00	-1	21.00	0.50	1	0	0	0	0	7.71	1	0	1		
188650	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	202.94		196.06	-4.55	0.67	65.65	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.80	0.86	-1.00	16.00	-1	21.00	0.50	1	0	0	0	0	7.71	1	0	1		
188708	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	202.94		196.32	-4.67	0.78	29.12	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.80	0.86	-1.00	16.00	-1	21.00	0.50	1	0	0	0	0	7.71	1	0	1		
188750	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	202.94		196.42	-4.77	0.80	216.26	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.80	0.86	-1.00	16.00	-1	21.00	0.50	1	0	0	0	0	7.71	1	0	1		
188800	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	202.94		196.55	-4.64	0.75	84.23	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.80	0.86	-1.00	16.00	-1	22.00	1.20	1	0	0	0	0	7.71	1	0	1		
188850	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	202.94		196.69	-4.64	0.83	63.10	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.80	0.86	-1.00	16.00	-1	22.00	1.20	1	0	0	0	0	7.71	1	0	1		
188900	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	202.94		196.78	-4.69	0.95	78.37	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.80	0.86	-1.00	16.00	-1	22.00	1.20	1	0	0	0	0	7.71	1	0	1		
188953	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	202.94		197.09	-4.64	0.98	34.33	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	22.00	1.20	1	0	0	0	0	7.71	1	0	1		
189000	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	202.37		197.35	-4.64	1.08	146.37	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	22.00	1.20	1	0	0	0	0	7.71	1	0	1		
189050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	202.37		197.75	-4.65	1.05	66.47	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	22.00	1.20	1	0	0	0	0	7.71	1	0	1		
189100	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	202.37		198.01	-4.79	0.88	83.08	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	22.00	1.20	1	0	0	0	0	7.71	1	0	1		
189150	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	202.37		198.34	-4.99	0.93	62.56	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	22.00	1.20	1	0	0	0	0	7.71	1	0	1		
189203	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	202.37		197.86	-5.14	1.02	145.26	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	22.00	1.20	1	0	0	0	0	7.71	1	0	1		
189250	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	202.37		197.52	-5.21	0.94	82.48	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	22.00	1.20	1	0	0	0	0	7.71	1	0	1		
189300	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	202.37		197.23	-5.27	0.92	82.62	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	22.00	1.20	1	0	0	0	0	5.91	1	0	1		
189350	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	202.37		196.82	-5.36	0.87	67.31	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	22.00	1.20	1	0	0	0	0	13.72	1	0	1		
189409	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	202.37		196.31	-5.49	0.72	29.19	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	22.00	1.20	1	0	0	0	0	13.72	1	0	1		
189450	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	202.37		195.95	-5.52	0.57	147.58	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	22.00	1.20	1	0	0	0	0	13.72	1	0	1		
189500	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	201.91		195.60	-5.55	0.46	77.71	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	22.00	1.20	1	0	0	0	0	13.72	1	0	1		
189550	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	201.91		195.09	-5.61	0.48	58.00	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	22.00	1.20	1	0	0	0	0	13.72	1	0	1		
189600	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	201.91		194.79	-5.64	0.46	83.98	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	22.00	1.20	1	0	0	0	0	13.72	1	0	1		
189654	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	201.91		194.11	-5.69	0.54	34.40	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	22.00	1.20	1	0	0	0	0	13.72	1	0	1		
189700	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	201.91		193.60	-5.77	0.76	147.58	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	22.00	1.20	1	0	0	0	0	13.72	1	0	1		
189750	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	201.91		192.91	-5.80	1.02	66.77	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	22.00	1.20	1	0	0	0	0	13.72	1	0	1		
189800	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	201.91		192.42	-5.89	1.34	78.89	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
189869	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	201.91		192.29	-5.90	1.44	26.99	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
189900	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	201.91		192.59	-5.89	1.33	141.72	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
189950	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	201.91		192.99	-5.90	1.30	66.58	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
190000	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	201.15		193.31	-5.83	1.22	84.55	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
190050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	201.15		193.73	-5.84	1.23	57.92	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
190108	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	201.15		194.29	-5.85	1.37	29.29	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
190150	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	201.15		194.69	-5.85	1.45	147.49	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
190200	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	201.15		195.07	-5.77	1.53	84.75	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
190251	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	201.15		195.60	-5.73	1.68	64.90	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
190300	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	201.15		195.90	-5.72	1.89	82.16	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
190353	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	201.15		195.03	-5.79	2.28	147.23	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
190400	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	201.15		194.55	-5.78	2.49	147.15	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
190450	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	201.15		193.90	-5.76	2.83	66.74	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
190500	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	200.56		193.47	-5.92	2.97	85.91	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
190554	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	200.56		193.05	-5.89	2.91	34.31	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
190600	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	200.56		193.02	-5.84	2.80	147.32	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
190650	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	200.56		192.96	-5.86	2.70	66.65	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
190700	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	200.56		192.93	-5.81	2.56	84.18	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
190750	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	200.56		192.87	-5.71	2.43	67.42	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
190803	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	200.56		193.46	-5.50	1.93	145.77	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
190850	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	200.56		193.87	-5.35	1.52	82.67	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
190900	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	200.56		194.20	-5.22	1.26	77.02	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
190950	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	200.56		194.65	-5.05	0.81	66.21	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
191008	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.91		195.22	-4.64	0.37	29.49	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
191050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.91		195.63	-4.50	0.07	146.89	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
191100	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.91		196.00	-4.52	-0.12	84.46	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
191150	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.91		196.52	-4.53	-0.30	58.28	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
191200	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.91		196.83	-4.52	-0.41	77.78	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
191253	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.91		196.92	-4.54	-0.53	34.44	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
191300	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.91		196.69	-4.63	-0.37	147.15	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
191350	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.91		196.39	-4.64	-0.16	66.70	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
191400	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.91		196.19	-4.76	0.03	84.49	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
191469	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.91		195.56	-4.97	0.36	26.97	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
191501	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.58		195.24	-5.02	0.44	141.80	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
191550	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.58		194.80	-5.01	0.54	71.63	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
191600	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.58		194.45	-5.07	0.60	82.29	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
191650	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.58		193.94	-5.13	0.65	66.17	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
191704	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.58		195.34	-5.03	0.24	145.69	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
191750	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.58		196.27	-4.94	0.07	83.61	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	13.72	1	0	1		
191800	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.58		197.06	-4.74	-0.36	78.15	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	25.00	1.20	1	0	0	0	0	184.95	1	0	1		
191850	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.58		198.05	-4.70	-0.44	68.44	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	28.00	1.20	1	0	0	0	0	184.95	1	0	1		
191908	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.58		197.96	-4.78	-0.21	29.66	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	28.00	1.20	1	0	0	0	0	184.95	1	0	1		
191950	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.58		197.40	-4.85	0.00	115.53	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	28.00	1.20	1	0	0	0	0	184.95	1	0	1		
192000	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.29		196.85	-4.88	0.16	86.18	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	28.00	1.20	1	0	0	0	0	184.95	1	0	1		
192050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.29		196.08	-5.02	0.39	62.52	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	28.00	1.20	1	0	0	0	0	184.95	1	0	1		
192100	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.29		195.61	-5.09	0.43	75.92	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	28.00	1.20	1	0	0	0	0	184.95	1	0	1		
192153	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.29		195.54	-5.26	0.41	34.44	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	28.00	1.20	1	0	0	0	0	184.95	1	0	1		
192200	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.29		195.97	-5.33	0.24	146.89	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	28.00	1.20	1	0	0	0	0	184.95	1	0	1		
192250	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.29		196.54	-5.30	-0.03	66.56	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	28.00	1.20	1	0	0	0	0	184.95	1	0	1		
192300	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.29		196.90	-5.26	-0.11	83.47	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	28.00	1.20	1	0	0	0	0	184.95	1	0	1		
192369	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.29		197.81	-5.16	-0.43	26.38	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	28.00	1.20	1	0	0	0	0	184.95	1	0	1		
192401	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.29		198.21	-5.16	-0.55	141.88	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	28.00	1.20	1	0	0	0	0	184.95	1	0	1		
192450	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.29		198.73	-5.24	-0.63	72.95	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	28.00	1.20	1	0	0	0	0	184.95	1	0	1		
192500	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.29		199.13	-5.35	-0.57	86.60	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	28.00	1.20	1	0	0	0	0	184.95	1	0	1		
192550	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.08		199.71	-5.26	-0.69	66.99	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	28.00	1.20	1	0	0	0	0	184.95	1	0	1		
192604	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.08		198.77	-5.48	-0.11	147.84	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	28.00	1.20	1	0	0	0	0	184.95	1	0	1		
192650	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.08		198.12	-5.55	0.19	97.24	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	28.00	1.20	1	0	0	0	0	184.95	1	0	1		
192700	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.08		197.52	-5.57	0.52	77.62	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	28.00	1.20	1	0	0	0	0	184.95	1	0	1		
192750	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.08		196.72	-5.55	0.78	65.88	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	31.00	1.20	1	0	0	0	0	184.95	1	0	1		
192808	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.08		195.93	-5.49	1.06	29.60	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	31.00	1.20	1	0	0	0	0	184.95	1	0	1		
192850	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	199.08		195.48	-5.52	1.15	147.58	-65.00	-21.00	-200.00	39.00	24.00	-156.00	2.70	0.86	-1.00	16.00	-1	31.00	1.20	1	0	0	0	0	184.95	1	0	1		
