Millis,m_currentPosition,m_pressedButtonDebug,m_bytesToSent,CurrentPosition,CurrentDirection,TargetPosition,MSStopped,stauosressoysCosiogsitped,startButton,stopButton,parkingButton,m_P,m_I,m_D,m_goalType,m_goal,m_lastError,m_errorSum,m_lastFilteredYaw,,yaw,pitch,roll,freq,magMin[0],magMin[1],magMin[2],magMax[0],magMax[1],magMax[2],m_speed,,m_P,m_I,m_D,m_goalType,m_go,_arai,y,itcroM,maMM[0],M[1]M[2]ped,m_speed.tripMileage,m_speed.totalMileage,m_speed.waterTemp,m_lampIntensity,m_wind.apparentAngle,m_wind.apparentSpeed,m_wind.displayInKnots,m_wind.displayInMpS,m_depth.anchorAlarm,m_depth.deepAlarm,m_depth.defective,m_depth.depthBelowTransductor,m_depth.metricUnits,m_depth.shallowAlarm,m_depth.unknown,Position,
16050,-39,0,0,-39,2,81,0,1,1,1,2.00,0.20,8.00,2,200.00,35.10,19.44,169.45,,165.39,0.20,-1.79,48.83,-69.00,-48.00,-220.00,122.00,144.00,50.00,4.80,25.90,25.90,20.00,-1,335.00,0.90,1,0,0,0,0,9.20,1,0,1,,
17069,6,0,0,6,2,87,0,1,1,1,2.00,0.20,8.00,2,200.00,37.86,19.44,168.52,,161.37,2.32,-0.36,24.00,-69.00,-48.00,-220.00,122.00,144.00,50.00,4.70,25.90,25.90,20.00,-1,337.00,0.90,1,0,0,0,0,9.20,1,0,1,,
18050,51,0,0,51,2,102,0,1,1,1,2.00,0.20,8.00,2,200.00,39.96,19.44,166.99,,159.18,2.79,-2.84,48.25,-69.00,-48.00,-220.00,122.00,144.00,50.00,4.70,25.90,25.90,21.00,-1,337.00,1.10,1,0,0,0,0,9.20,1,0,1,,
19068,86,0,0,86,0,86,19068,1,1,1,2.00,0.20,8.00,2,200.00,37.21,19.44,166.09,,161.59,2.97,-0.12,24.01,-69.00,-48.00,-220.00,122.00,144.00,50.00,4.60,25.90,25.90,21.00,-1,341.00,1.10,1,0,0,0,0,9.20,1,0,1,,
20050,87,0,0,87,1,85,19068,1,1,1,2.00,0.20,8.00,2,200.00,38.48,19.44,165.23,,161.09,3.21,-3.34,48.61,-69.00,-48.00,-220.00,122.00,144.00,50.00,4.60,25.90,25.90,21.00,-1,342.00,1.10,1,0,0,0,0,9.20,1,0,1,,
21055,87,0,0,87,0,75,0,1,1,1,2.00,0.20,8.00,2,200.00,35.59,19.44,164.74,,164.72,3.41,-2.81,148.10,-69.00,-48.00,-220.00,122.00,144.00,50.00,4.50,25.90,25.90,21.00,-1,341.00,1.20,1,0,0,0,0,9.20,1,0,1,,
22050,75,0,0,75,1,75,21550,1,1,1,2.00,0.20,8.00,2,200.00,35.94,19.44,164.67,,164.13,4.28,-3.68,48.25,-69.00,-48.00,-220.00,122.00,144.00,50.00,4.50,25.90,25.90,21.00,-1,341.00,1.20,1,0,0,0,0,9.20,1,0,1,,
23050,57,0,0,57,0,1,0,1,1,1,0.00,0.20,8.00,2,200.00,31.56,19.44,164.94,,167.96,3.13,-2.03,95.38,-69.00,-48.00,-220.00,122.00,144.00,50.00,4.40,25.90,25.90,21.00,-1,341.00,1.20,1,0,0,0,0,9.20,1,0,1,,
24050,13,0,0,13,0,1,0,1,1,1,0.00,0.20,8.00,2,200.00,31.75,19.44,165.49,,168.30,3.91,-3.22,51.42,-69.00,-48.00,-220.00,122.00,144.00,50.00,4.40,25.90,25.90,21.00,-1,341.00,1.20,1,0,0,0,0,9.20,1,0,1,,
25050,1,0,0,1,1,1,24400,1,1,1,0.00,0.20,8.00,2,200.00,32.07,35.77,165.99,,167.88,3.89,-1.90,49.24,-69.00,-48.00,-220.00,122.00,144.00,50.00,4.30,25.90,25.90,20.00,-1,341.00,1.20,1,0,0,0,0,187.33,1,0,1,,
